Position,City,Population,Area,Density
544,Alto Alegre,4099,318.574,12.8667122866273
545,Presidente Alves,4094,286.642,14.2826243188367
546,Pracinha,4093,63.054,64.9126145843245
547,Mariápolis,4084,186.544,21.8929582296938
548,Paranapuã,4078,140.354,29.0551035239466
549,Corumbataí,4055,278.622,14.5537681877239
550,Inúbia Paulista,3991,87.119,45.8109023289983
551,Nova Independência,3969,265.029,14.9757196382283
552,Suzanápolis,3963,330.587,11.9877672140768
553,Bom Sucesso de Itararé,3954,133.578,29.600682747159
554,Indiaporã,3897,279.606,13.9374691530225
555,Areias,3886,305.227,12.7315080251747
556,Redenção da Serra,3851,309.441,12.4450218296864
557,Meridiano,3836,228.199,16.8098896138896
558,Itaju,3835,230.355,16.6482168826377
559,Quadra,3804,205.672,18.4954685129721
560,Macedônia,3698,327.567,11.2892934880498
561,Piquerobi,3692,482.769,7.64754986339222
562,Álvares Florence,3679,362.411,10.1514578751749
563,Elisiário,3651,93.98,38.8486912108959
564,Sarutaiá,3638,141.608,25.6906389469521
565,Rifaina,3629,162.508,22.3312083097447
566,Adolfo,3562,211.055,16.8771173390822
567,Platina,3550,327.48,10.8403566630023
568,Sebastianópolis do Sul,3513,167.848,20.92965063629
569,Mombuca,3493,133.698,26.1260452661969
570,Barão de Antonina,3469,153.142,22.6521790233901
571,Águas de São Pedro,3451,3.612,955.426356589147
572,Pongaí,3416,183.399,18.6260557582102
573,Queiroz,3406,234.914,14.4989230101229
574,Jumirim,3367,56.685,59.3984299197319
575,Ribeira,3340,335.759,9.94761123305704
576,Itaoca,3328,183.015,18.1843018331831
577,Alvinlândia,3222,84.879,37.9599194146962
578,Emilianópolis,3214,225.167,14.2738500757216
579,Jeriquara,3159,141.971,22.2510230962661
580,Rubineia,3148,242.877,12.961293164853
581,Nantes,3141,286.647,10.957728495327
582,Rubiácea,3128,236.484,13.2271105021904
583,Magda,3119,312.282,9.98776746658469
584,Santo Expedito,3111,94.465,32.9328322659186
585,Pedrinhas Paulista,3093,152.309,20.3074014010991
586,Mira Estrela,3086,216.825,14.232676121296
587,Marapoama,3031,111.267,27.2407811839988
588,Bento de Abreu,2980,301.687,9.8777872430698
589,Santa Mercedes,2939,166.753,17.6248703171757
590,Floreal,2917,204.236,14.2824967194814
591,Brejo Alegre,2865,105.689,27.1078352524861
592,São Francisco,2821,75.579,37.3251829211818
593,Taquaral,2811,53.892,52.1598753061679
594,Cândido Rodrigues,2793,70.892,39.3979574564126
595,Gabriel Monteiro,2776,138.681,20.017161687614
596,Estrela do Norte,2766,264.987,10.4382479140486
597,Zacarias,2718,319.056,8.51888069805928
598,Florínea,2676,225.886,11.846683725419
599,Timburi,2658,196.79,13.5067838812948
600,Borebi,2653,347.989,7.62380420070749
601,Lutécia,2649,475.226,5.5741899643538
602,Oscar Bressane,2603,222.13,11.7183631206951
603,Pontes Gestal,2577,217.505,11.8480034941725
